"MES_REFERENCIA";"SUBMERCADO";"PLD_MEDIA_MES"
"200504";NORDESTE;18.33
"200504";NORTE;18.87
"200504";SUDESTE;24.88
"200504";SUL;83.97
"200505";NORDESTE;18.33
"200505";NORTE;20.28
"200505";SUDESTE;43.96
"200505";SUL;79.35
"200506";NORDESTE;18.33
"200506";NORTE;25.42
"200506";SUDESTE;26.45
"200506";SUL;24.07
"200507";NORDESTE;18.33
"200507";NORTE;31.74
"200507";SUDESTE;31.74
"200507";SUL;31.56
"200508";NORDESTE;18.5
"200508";NORTE;34.51
"200508";SUDESTE;34.51
"200508";SUL;34.51
"200509";NORDESTE;18.4
"200509";NORTE;31.94
"200509";SUDESTE;31.94
"200509";SUL;29.42
"200510";NORDESTE;18.86
"200510";NORTE;43.12
"200510";SUDESTE;43.12
"200510";SUL;18.83
"200511";NORDESTE;19.79
"200511";NORTE;35.73
"200511";SUDESTE;35.73
"200511";SUL;24.17
"200512";NORDESTE;18.4
"200512";NORTE;19.2
"200512";SUDESTE;19.2
"200512";SUL;19.19
"200601";NORDESTE;19.14
"200601";NORTE;19.14
"200601";SUDESTE;28.64
"200601";SUL;28.78
"200602";NORDESTE;37.62
"200602";NORTE;29.2
"200602";SUDESTE;58.02
"200602";SUL;63.63
"200603";NORDESTE;36.1
"200603";NORTE;18.94
"200603";SUDESTE;28.56
"200603";SUL;42.67
"200604";NORDESTE;16.92
"200604";NORTE;16.92
"200604";SUDESTE;20.87
"200604";SUL;21.06
"200605";NORDESTE;19.79
"200605";NORTE;16.97
"200605";SUDESTE;51.91
"200605";SUL;52.51
"200606";NORDESTE;23.44
"200606";NORTE;44.84
"200606";SUDESTE;67.89
"200606";SUL;70.01
"200607";NORDESTE;30.61
"200607";NORTE;90.9
"200607";SUDESTE;90.9
"200607";SUL;91.44
"200608";NORDESTE;51.94
"200608";NORTE;104.98
"200608";SUDESTE;104.98
"200608";SUL;105.19
"200609";NORDESTE;68.56
"200609";NORTE;123.88
"200609";SUDESTE;123.88
"200609";SUL;123.88
"200610";NORDESTE;46.25
"200610";NORTE;92.42
"200610";SUDESTE;92.42
"200610";SUL;92.42
"200611";NORDESTE;24.4
"200611";NORTE;80.82
"200611";SUDESTE;80.82
"200611";SUL;80.82
"200612";NORDESTE;17.58
"200612";NORTE;45.23
"200612";SUDESTE;58.75
"200612";SUL;59.18
"200701";NORDESTE;17.59
"200701";NORTE;17.59
"200701";SUDESTE;22.62
"200701";SUL;26.28
"200702";NORDESTE;17.59
"200702";NORTE;17.59
"200702";SUDESTE;17.59
"200702";SUL;17.59
"200703";NORDESTE;17.59
"200703";NORTE;17.59
"200703";SUDESTE;17.59
"200703";SUL;17.59
"200704";NORDESTE;28.07
"200704";NORTE;24.25
"200704";SUDESTE;49.36
"200704";SUL;49.05
"200705";NORDESTE;53.37
"200705";NORTE;53.37
"200705";SUDESTE;59.96
"200705";SUL;23.48
"200706";NORDESTE;97.19
"200706";NORTE;97.35
"200706";SUDESTE;97.15
"200706";SUL;59.42
"200707";NORDESTE;118.94
"200707";NORTE;122.87
"200707";SUDESTE;122.59
"200707";SUL;122.19
"200708";NORDESTE;45.81
"200708";NORTE;44.36
"200708";SUDESTE;39.27
"200708";SUL;36.13
"200709";NORDESTE;149.11
"200709";NORTE;149.53
"200709";SUDESTE;149.53
"200709";SUL;149.8
"200710";NORDESTE;197.45
"200710";NORTE;198.13
"200710";SUDESTE;198.13
"200710";SUL;198.13
"200711";NORDESTE;185.11
"200711";NORTE;185.11
"200711";SUDESTE;185.11
"200711";SUL;185.11
"200712";NORDESTE;204.93
"200712";NORTE;204.93
"200712";SUDESTE;204.93
"200712";SUL;204.93
"200801";NORDESTE;497.61
"200801";NORTE;502.45
"200801";SUDESTE;502.45
"200801";SUL;502.45
"200802";NORDESTE;214.37
"200802";NORTE;200.43
"200802";SUDESTE;200.42
"200802";SUL;200.65
"200803";NORDESTE;123.24
"200803";NORTE;117.67
"200803";SUDESTE;124.7
"200803";SUL;127.41
"200804";NORDESTE;71.92
"200804";NORTE;50.97
"200804";SUDESTE;68.8
"200804";SUL;72.12
"200805";NORDESTE;34.42
"200805";NORTE;27.61
"200805";SUDESTE;34.18
"200805";SUL;34.19
"200806";NORDESTE;75.34
"200806";NORTE;75.34
"200806";SUDESTE;76.2
"200806";SUL;76.2
"200807";NORDESTE;108.42
"200807";NORTE;108.42
"200807";SUDESTE;108.42
"200807";SUL;108.42
"200808";NORDESTE;102.79
"200808";NORTE;102.79
"200808";SUDESTE;102.79
"200808";SUL;101.21
"200809";NORDESTE;109.91
"200809";NORTE;109.93
"200809";SUDESTE;109.93
"200809";SUL;109.4
"200810";NORDESTE;92.43
"200810";NORTE;92.43
"200810";SUDESTE;92.43
"200810";SUL;92.17
"200811";NORDESTE;106.14
"200811";NORTE;106.14
"200811";SUDESTE;106.14
"200811";SUL;93.77
"200812";NORDESTE;96.97
"200812";NORTE;96.97
"200812";SUDESTE;96.97
"200812";SUL;96.93
"200901";NORDESTE;77.77
"200901";NORTE;77.82
"200901";SUDESTE;83.64
"200901";SUL;83.66
"200902";NORDESTE;27.41
"200902";NORTE;27.41
"200902";SUDESTE;52.08
"200902";SUL;66.15
"200903";NORDESTE;84.25
"200903";NORTE;24.96
"200903";SUDESTE;90.87
"200903";SUL;91.28
"200904";NORDESTE;27.79
"200904";NORTE;16.31
"200904";SUDESTE;46.46
"200904";SUL;48.73
"200905";NORDESTE;30.17
"200905";NORTE;16.31
"200905";SUDESTE;39
"200905";SUL;39.1
"200906";NORDESTE;30
"200906";NORTE;23.14
"200906";SUDESTE;40.84
"200906";SUL;40.84
"200907";NORDESTE;25.55
"200907";NORTE;25.55
"200907";SUDESTE;30.43
"200907";SUL;30.43
"200908";NORDESTE;16.31
"200908";NORTE;16.31
"200908";SUDESTE;16.31
"200908";SUL;16.31
"200909";NORDESTE;16.31
"200909";NORTE;16.31
"200909";SUDESTE;16.31
"200909";SUL;16.31
"200910";NORDESTE;16.31
"200910";NORTE;16.31
"200910";SUDESTE;16.31
"200910";SUL;16.31
"200911";NORDESTE;16.31
"200911";NORTE;16.31
"200911";SUDESTE;16.31
"200911";SUL;16.31
"200912";NORDESTE;16.31
"200912";NORTE;16.31
"200912";SUDESTE;16.31
"200912";SUL;16.31
"201001";NORDESTE;12.91
"201001";NORTE;12.91
"201001";SUDESTE;12.91
"201001";SUL;12.91
"201002";NORDESTE;15.91
"201002";NORTE;13.82
"201002";SUDESTE;13.82
"201002";SUL;13.82
"201003";NORDESTE;30.38
"201003";NORTE;27.24
"201003";SUDESTE;27.24
"201003";SUL;27.24
"201004";NORDESTE;24.62
"201004";NORTE;21.46
"201004";SUDESTE;21.47
"201004";SUL;21.47
"201005";NORDESTE;33.99
"201005";NORTE;32.35
"201005";SUDESTE;32.34
"201005";SUL;30.1
"201006";NORDESTE;69.4
"201006";NORTE;69.4
"201006";SUDESTE;67.7
"201006";SUL;67.7
"201007";NORDESTE;97.56
"201007";NORTE;97.56
"201007";SUDESTE;89.61
"201007";SUL;89.61
"201008";NORDESTE;123.56
"201008";NORTE;123.55
"201008";SUDESTE;116.66
"201008";SUL;116.66
"201009";NORDESTE;189.37
"201009";NORTE;189.37
"201009";SUDESTE;132.1
"201009";SUL;131.78
"201010";NORDESTE;232.48
"201010";NORTE;232.48
"201010";SUDESTE;137.78
"201010";SUL;137.78
"201011";NORDESTE;115.05
"201011";NORTE;116.68
"201011";SUDESTE;116.68
"201011";SUL;116.68
"201012";NORDESTE;68.69
"201012";NORTE;71.62
"201012";SUDESTE;71.62
"201012";SUL;71.62
"201101";NORDESTE;28.96
"201101";NORTE;28.16
"201101";SUDESTE;28.19
"201101";SUL;28.19
"201102";NORDESTE;50.39
"201102";NORTE;49.33
"201102";SUDESTE;49.59
"201102";SUL;41.85
"201103";NORDESTE;24.91
"201103";NORTE;23.31
"201103";SUDESTE;23.41
"201103";SUL;20.95
"201104";NORDESTE;12.2
"201104";NORTE;12.2
"201104";SUDESTE;12.2
"201104";SUL;12.2
"201105";NORDESTE;17.24
"201105";NORTE;17.24
"201105";SUDESTE;17.35
"201105";SUL;17.35
"201106";NORDESTE;31.75
"201106";NORTE;31.75
"201106";SUDESTE;31.8
"201106";SUL;31.8
"201107";NORDESTE;23.13
"201107";NORTE;23.13
"201107";SUDESTE;23.08
"201107";SUL;22.66
"201108";NORDESTE;19.62
"201108";NORTE;19.62
"201108";SUDESTE;19.61
"201108";SUL;15.92
"201109";NORDESTE;21.18
"201109";NORTE;21.18
"201109";SUDESTE;21.18
"201109";SUL;16.98
"201110";NORDESTE;37.14
"201110";NORTE;37.14
"201110";SUDESTE;37.14
"201110";SUL;37.04
"201111";NORDESTE;45.55
"201111";NORTE;45.55
"201111";SUDESTE;45.55
"201111";SUL;45.55
"201112";NORDESTE;37.37
"201112";NORTE;37.37
"201112";SUDESTE;44.47
"201112";SUL;44.47
"201201";NORDESTE;12.92
"201201";NORTE;12.92
"201201";SUDESTE;23.14
"201201";SUL;23.14
"201202";NORDESTE;12.57
"201202";NORTE;12.57
"201202";SUDESTE;50.67
"201202";SUL;50.67
"201203";NORDESTE;109.12
"201203";NORTE;109.12
"201203";SUDESTE;124.97
"201203";SUL;124.97
"201204";NORDESTE;182.68
"201204";NORTE;182.68
"201204";SUDESTE;192.7
"201204";SUL;195.75
"201205";NORDESTE;180.37
"201205";NORTE;180.37
"201205";SUDESTE;180.94
"201205";SUL;180.94
"201206";NORDESTE;118.65
"201206";NORTE;118.49
"201206";SUDESTE;118.49
"201206";SUL;118.49
"201207";NORDESTE;91.24
"201207";NORTE;91.24
"201207";SUDESTE;91.24
"201207";SUL;91.24
"201208";NORDESTE;119.08
"201208";NORTE;119.08
"201208";SUDESTE;119.08
"201208";SUL;119.05
"201209";NORDESTE;183.3
"201209";NORTE;183.3
"201209";SUDESTE;182.94
"201209";SUL;182.94
"201210";NORDESTE;294.82
"201210";NORTE;294.82
"201210";SUDESTE;280.39
"201210";SUL;280.39
"201211";NORDESTE;375.54
"201211";NORTE;375.54
"201211";SUDESTE;375.54
"201211";SUL;375.54
"201212";NORDESTE;253.24
"201212";NORTE;253.24
"201212";SUDESTE;259.57
"201212";SUL;259.57
"201301";NORDESTE;409.76
"201301";NORTE;409.76
"201301";SUDESTE;413.95
"201301";SUL;413.95
"201302";NORDESTE;212.59
"201302";NORTE;212.59
"201302";SUDESTE;214.54
"201302";SUL;214.54
"201303";NORDESTE;339.84
"201303";NORTE;339.4
"201303";SUDESTE;339.75
"201303";SUL;339.75
"201304";NORDESTE;197.38
"201304";NORTE;196.13
